user_id,registration_date,registration_country,purchase_count,purchase_count_delivery,purchase_count_takeaway,first_purchase_day,last_purchase_day,breakfast_purchases,lunch_purchases,evening_purchases,dinner_purchases,late_night_purchases,total_purchases_eur,distinct_purchase_venue_count,min_purchase_value_eur,max_purchase_value_eur,avg_purchase_value_eur,preferred_device,ios_purchases,web_purchases,android_purchases,preferred_restaurant_types,user_has_valid_payment_method,most_common_hour_of_the_day_to_purchase,most_common_weekday_to_purchase,avg_days_between_purchases,median_days_between_purchases,average_delivery_distance_kms,purchase_count_by_store_type
2,2019-09-01,FIN,1,1.0,0.0,2020-09-02,2020-09-02,0.0,1.0,0.0,0.0,0.0,38.456,1.0,38.532,38.608,38.456,android,0.0,0.0,1.0,['not mentioned'],0,23.0,2.0,0.0,0.0,6.853,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
3,2019-09-01,DNK,19,19.0,0.0,2019-12-10,2020-05-25,0.0,4.0,1.0,14.0,0.0,631.488,9.0,20.28,43.688,33.396,android,0.0,19.0,0.0,['not mentioned'],1,21.0,2.0,9.0,3.0,6.559,"{'Generalmerchandise': 1, 'Grocery': 9, 'Petsupplies': 0, 'Restaurant': 9, 'Retailstore': 0}"
8,2019-09-01,FIN,1,1.0,0.0,2020-10-14,2020-10-14,0.0,0.0,1.0,0.0,0.0,19.228,1.0,19.266,19.304,19.228,android,0.0,0.0,1.0,['not mentioned'],1,5.0,1.0,9.0,3.0,1.251,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
13,2019-09-01,FIN,19,19.0,0.0,2020-04-18,2020-10-27,0.0,8.0,0.0,11.0,0.0,587.972,3.0,19.266,47.752,31.372,ios,19.0,0.0,0.0,['not mentioned'],1,7.0,3.0,11.0,9.0,3.303,"{'Generalmerchandise': 1, 'Grocery': 9, 'Petsupplies': 0, 'Restaurant': 9, 'Retailstore': 0}"
14,2019-09-01,FIN,2,2.0,0.0,2020-08-21,2020-09-09,0.0,1.0,1.0,0.0,0.0,118.404,1.0,57.798,60.96,59.708,ios,0.0,0.0,2.0,['american'],0,5.0,6.0,19.0,19.0,1.382,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
16,2019-09-01,FIN,2,2.0,0.0,2020-05-18,2020-07-06,0.0,2.0,0.0,0.0,0.0,107.272,1.0,51.714,56.896,53.636,ios,2.0,0.0,0.0,['not mentioned'],0,0.0,1.0,49.0,49.0,4.619,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
17,2019-09-01,FIN,7,5.0,2.0,2019-12-05,2020-10-31,0.0,5.0,0.0,2.0,0.0,284.372,6.0,22.308,58.928,40.48,android,0.0,0.0,7.0,['american'],1,10.0,1.0,55.0,56.0,4.903,"{'Generalmerchandise': 1, 'Grocery': 3, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
18,2019-09-01,DNK,2,2.0,0.0,2019-09-05,2020-05-16,0.0,0.0,0.0,2.0,0.0,116.38,2.0,29.406,86.36,57.684,ios,2.0,0.0,0.0,['japanese'],1,7.0,2.0,254.0,254.0,8.324,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
21,2019-09-01,GRC,3,3.0,0.0,2020-04-26,2020-05-28,0.0,1.0,0.0,2.0,0.0,25.3,3.0,8.112,9.144,8.096,ios,3.0,0.0,0.0,['not mentioned'],1,2.0,7.0,16.0,16.0,2.956,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
22,2019-09-01,FIN,4,4.0,0.0,2019-10-27,2020-07-08,0.0,0.0,0.0,4.0,0.0,109.296,4.0,19.266,36.576,27.324,android,0.0,0.0,4.0,['not mentioned'],1,1.0,1.0,85.0,96.0,1.609,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 4, 'Retailstore': 0}"
23,2019-09-01,FIN,1,1.0,0.0,2020-10-24,2020-10-24,0.0,0.0,0.0,1.0,0.0,25.3,1.0,25.35,25.4,25.3,ios,1.0,0.0,0.0,['not mentioned'],1,7.0,5.0,85.0,96.0,9.408,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
25,2019-09-01,FIN,1,1.0,0.0,2020-10-06,2020-10-06,0.0,0.0,1.0,0.0,0.0,14.168,1.0,14.196,14.224,14.168,ios,1.0,0.0,0.0,['not mentioned'],0,10.0,5.0,85.0,96.0,7.322,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
27,2019-09-01,FIN,6,6.0,0.0,2020-02-02,2020-10-18,0.0,2.0,0.0,4.0,0.0,145.728,2.0,19.266,39.624,24.288,ios,6.0,0.0,0.0,['italian'],1,0.0,2.0,52.0,58.0,4.506,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 3}"
28,2019-09-01,FIN,3,3.0,0.0,2020-02-02,2020-10-31,0.0,2.0,1.0,0.0,0.0,80.96,3.0,22.308,35.56,27.324,ios,1.0,0.0,2.0,['not mentioned'],1,6.0,5.0,136.0,136.0,2.39,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
32,2019-09-01,LVA,33,32.0,1.0,2019-09-13,2020-10-29,0.0,7.0,7.0,13.0,0.0,753.94,13.0,7.098,40.64,23.276,ios,33.0,0.0,0.0,['american'],1,23.0,2.0,13.0,2.0,6.747,"{'Generalmerchandise': 0, 'Grocery': 16, 'Petsupplies': 1, 'Restaurant': 16, 'Retailstore': 0}"
34,2019-09-01,GRC,3,3.0,0.0,2019-09-01,2020-01-17,0.0,1.0,0.0,2.0,0.0,56.672,2.0,18.252,19.304,19.228,ios,3.0,0.0,0.0,['not mentioned'],1,9.0,3.0,69.0,69.0,10.618,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
