user_id,Generalmerchandise,Grocery,Petsupplies,Restaurant,Retailstore
2,0,0,0,1,0
3,1,9,0,9,0
8,0,0,0,1,0
13,1,9,0,9,0
14,0,0,0,2,0
16,0,0,0,2,0
17,1,3,0,3,0
18,0,0,0,2,0
21,0,0,0,3,0
22,0,0,0,4,0
23,0,0,0,1,0
25,0,0,0,1,0
27,0,0,0,3,3
28,0,0,0,3,0
32,0,16,1,16,0
34,0,0,0,3,0
38,0,0,0,1,0
40,0,0,0,3,0
42,0,0,0,1,0
43,0,0,0,2,0
45,0,0,0,3,0
46,0,0,0,1,0
49,0,0,0,1,0
51,0,0,0,1,0
54,0,0,0,2,0
55,0,0,0,1,0
57,0,0,0,2,0
58,0,0,0,4,0
59,0,0,0,3,0
60,0,0,0,1,0
65,0,0,0,1,0
66,0,0,0,4,4
67,0,0,0,1,0
70,0,0,0,8,8
71,0,0,0,1,0
72,1,6,0,6,0
75,0,0,0,1,0
76,0,0,0,1,0
78,0,0,0,3,3
79,0,0,0,3,0
80,0,0,0,160,160
81,0,0,0,2,0
83,0,0,0,1,0
85,0,0,0,1,0
87,0,0,0,1,0
88,0,0,0,1,0
89,0,0,0,5,0
91,0,0,0,5,0
93,0,0,0,2,0
94,0,0,0,4,4
97,0,0,0,1,0
98,0,0,0,1,0
100,0,0,0,1,0
102,1,5,0,5,0
103,0,0,0,2,0
104,0,0,0,7,7
106,1,8,0,8,0
107,0,0,0,3,3
109,0,0,0,1,0
111,0,0,0,5,0
112,0,0,0,2,0
116,0,0,0,3,0
117,0,0,0,2,0
118,1,5,0,5,0
119,0,0,0,4,0
120,0,22,1,22,0
123,0,0,0,3,3
124,1,8,0,8,0
125,0,0,0,4,0
126,0,0,0,1,0
127,1,10,0,10,0
129,0,0,0,2,0
131,0,0,0,3,0
133,0,0,0,3,0
134,0,0,0,1,0
135,0,0,0,1,0
136,0,0,0,1,0
137,0,0,0,1,0
139,0,0,0,1,0
140,0,0,0,4,0
141,0,0,0,1,0
143,0,15,1,15,0
144,0,0,0,5,0
146,0,0,0,3,0
147,0,0,0,13,13
149,1,4,0,4,0
150,0,0,0,2,0
151,0,0,0,5,5
154,0,0,0,4,0
155,0,0,0,4,0
156,0,0,0,1,0
157,0,0,0,4,0
162,0,0,0,1,0
163,1,8,0,8,0
164,0,0,0,2,0
166,0,0,0,2,0
167,0,0,0,1,0
168,0,0,0,8,8
169,1,3,0,3,0
171,0,0,0,1,0
172,0,0,0,4,0
176,0,0,0,3,0
177,0,0,0,17,17
179,0,0,0,1,0
182,0,0,0,2,0
183,0,19,1,19,0
184,0,0,0,1,0
186,0,0,0,9,9
187,0,0,0,1,0
189,0,0,0,1,0
191,0,0,0,1,0
192,1,12,0,12,0
195,0,0,0,5,0
197,0,0,0,1,0
198,0,0,0,3,0
199,0,0,0,3,0
200,0,0,0,1,0
202,0,0,0,2,0
204,0,0,0,5,5
205,1,3,0,3,0
206,0,0,0,1,0
207,0,0,0,2,0
209,0,0,0,2,0
210,0,0,0,2,0
211,1,5,0,5,0
212,1,7,0,7,0
213,0,0,0,7,7
218,0,0,0,1,0
219,0,0,0,3,0
220,1,7,0,7,0
223,0,25,1,25,0
224,0,0,0,3,0
225,0,0,0,1,0
226,0,0,0,1,0
228,0,0,0,10,10
229,0,0,0,1,0
230,0,0,0,1,0
231,0,0,0,1,0
232,0,0,0,2,0
233,1,3,0,3,0
234,0,0,0,1,0
